Priority,Source,Subsource,Supercategory,Type,Subtype,Risk assessment,Qualifier,Value,Units,Study Type,Exposure Route,Species,Critical effect,Year
4,ToxRefDB,opp_der,Point of Departure,NEL,-,chronic,=,16.1,mg/kg-day,chronic,oral,Mouse,"pathology microscopic-pancreas/hyperplasia|in life observation-body weight/body weight|in life observation-body weight/body weight gain|organ weight-liver/relative to body weight",1994
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,536,mg/kg-day,subchronic,oral,Rat,"organ weight-epididymis/absolute|pathology microscopic-epididymis/[other]|pathology gross-epididymis/reduced size|pathology microscopic-pancreas/vacuolization cytoplasmic|organ weight-testes/absolute|pathology microscopic-testes/atrophy|pathology microscopic-testes/reduced spermatogenesis|pathology gross-testes/reduced size|organ weight-thyroid gland/relative to body weight|urinalysis-protein/protein|urinalysis-bilirubin/total bilirubin",2002
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,>,536,mg/kg-day,subchronic,oral,Rat,"organ weight-epididymis/absolute|pathology microscopic-epididymis/[other]|pathology gross-epididymis/reduced size|organ weight-liver/relative to body weight|organ weight-liver/absolute|pathology microscopic-pancreas/vacuolization cytoplasmic|pathology gross-prostate/reduced size|pathology microscopic-prostate/secretory fluid|pathology gross-seminal vesicle/reduced size|pathology microscopic-seminal vesicle/secretory fluid|organ weight-spleen/absolute|organ weight-spleen/relative to body weight|clinical chemistry-albumin-globulin ratio/albumin-globulin ratio|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-gamma glutamyl transferase (ggt)/gamma glutamyl transferase (ggt)|clinical chemistry-globulins/globulins|clinical chemistry-calcium/calcium|clinical chemistry-protein/protein|clinical chemistry-urea nitrogen/urea|clinical chemistry-bilirubin/total bilirubin|hematology-blood clotting/blood clotting - prothrombin time|hematology-erythrocyte (rbc) count differential/erythrocyte (rbc)|hematology-hematocrit (hct)/hematocrit (hct)|hematology-hemoglobin (hgb)/hemoglobin (hgb)|organ weight-testes/absolute|pathology microscopic-testes/atrophy|pathology microscopic-testes/reduced spermatogenesis|pathology gross-testes/reduced size|organ weight-thyroid gland/relative to body weight|urinalysis-protein/protein|urinalysis-bilirubin/total bilirubin",2002
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,131,mg/kg-day,subchronic,oral,Rat,"organ weight-epididymis/absolute|pathology microscopic-epididymis/[other]|pathology gross-epididymis/reduced size|pathology microscopic-pancreas/vacuolization cytoplasmic|organ weight-testes/absolute|pathology microscopic-testes/atrophy|pathology microscopic-testes/reduced spermatogenesis|pathology gross-testes/reduced size|organ weight-thyroid gland/relative to body weight|urinalysis-protein/protein|urinalysis-bilirubin/total bilirubin",2002
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,>=,536,mg/kg-day,subchronic,oral,Rat,"organ weight-epididymis/absolute|pathology microscopic-epididymis/[other]|pathology gross-epididymis/reduced size|organ weight-liver/relative to body weight|organ weight-liver/absolute|pathology microscopic-pancreas/vacuolization cytoplasmic|pathology gross-prostate/reduced size|pathology microscopic-prostate/secretory fluid|pathology gross-seminal vesicle/reduced size|pathology microscopic-seminal vesicle/secretory fluid|organ weight-spleen/absolute|organ weight-spleen/relative to body weight|clinical chemistry-albumin-globulin ratio/albumin-globulin ratio|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-gamma glutamyl transferase (ggt)/gamma glutamyl transferase (ggt)|clinical chemistry-globulins/globulins|clinical chemistry-calcium/calcium|clinical chemistry-protein/protein|clinical chemistry-urea nitrogen/urea|clinical chemistry-bilirubin/total bilirubin|hematology-blood clotting/blood clotting - prothrombin time|hematology-erythrocyte (rbc) count differential/erythrocyte (rbc)|hematology-hematocrit (hct)/hematocrit (hct)|hematology-hemoglobin (hgb)/hemoglobin (hgb)|organ weight-testes/absolute|pathology microscopic-testes/atrophy|pathology microscopic-testes/reduced spermatogenesis|pathology gross-testes/reduced size|organ weight-thyroid gland/relative to body weight|urinalysis-protein/protein|urinalysis-bilirubin/total bilirubin",2002
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,>,400,ppm,subchronic,oral,Rat,"pathology microscopic-kidney/dilatation|pathology microscopic-kidney/pigmentation",2002
4,ToxRefDB,opp_der,Point of Departure,LEL,-,subchronic,=,131,mg/kg-day,subchronic,oral,Rat,"organ weight-kidney/absolute|organ weight-liver/relative to body weight|pathology gross-prostate/reduced size|pathology gross-seminal vesicle/reduced size|organ weight-spleen/absolute|clinical chemistry-albumin-globulin ratio/albumin-globulin ratio|clinical chemistry-globulins/globulins|in life observation-body weight/body weight|in life observation-body weight/body weight gain|clinical chemistry-protein/protein|hematology-blood clotting/blood clotting - prothrombin time|in life observation-clinical signs/grip strength",2002
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,>,400,ppm,subchronic,oral,Rat,"pathology microscopic-kidney/dilatation|pathology microscopic-kidney/pigmentation",2002
4,ToxRefDB,opp_der,Point of Departure,LOAEL,-,subchronic,=,131,mg/kg-day,subchronic,oral,Rat,"organ weight-kidney/absolute|in life observation-body weight/body weight|in life observation-body weight/body weight gain",2002
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,>=,400,ppm,subchronic,oral,Rat,"pathology microscopic-kidney/dilatation|pathology microscopic-kidney/pigmentation",2002
4,ToxRefDB,opp_der,Point of Departure,NEL,-,subchronic,=,17.8,mg/kg-day,subchronic,oral,Rat,"organ weight-kidney/absolute|organ weight-liver/relative to body weight|organ weight-liver/absolute|pathology gross-prostate/reduced size|pathology microscopic-prostate/secretory fluid|pathology gross-seminal vesicle/reduced size|pathology microscopic-seminal vesicle/secretory fluid|organ weight-spleen/absolute|organ weight-spleen/relative to body weight|clinical chemistry-albumin-globulin ratio/albumin-globulin ratio|clinical chemistry-alkaline phosphatase (alp/alk)/alkaline phosphatase (alp/alk)|clinical chemistry-gamma glutamyl transferase (ggt)/gamma glutamyl transferase (ggt)|clinical chemistry-globulins/globulins|in life observation-body weight/body weight|in life observation-body weight/body weight gain|clinical chemistry-calcium/calcium|clinical chemistry-protein/protein|clinical chemistry-urea nitrogen/urea|in life observation-clinical signs/hypotonia|in life observation-clinical signs/piloerection|urinalysis-protein/protein|urinalysis-bilirubin/total bilirubin|clinical chemistry-bilirubin/total bilirubin|hematology-blood clotting/blood clotting - prothrombin time|hematology-erythrocyte (rbc) count differential/erythrocyte (rbc)|hematology-hematocrit (hct)/hematocrit (hct)|hematology-hemoglobin (hgb)/hemoglobin (hgb)|in life observation-clinical signs/grip strength|in life observation-clinical signs/splayed hindlimbs|in life observation-mortality/mortality|organ weight-epididymis/absolute|organ weight-testes/absolute|organ weight-thyroid gland/relative to body weight|pathology microscopic-epididymis/[other]|pathology microscopic-pancreas/vacuolization cytoplasmic|pathology microscopic-testes/atrophy|pathology microscopic-testes/reduced spermatogenesis|pathology gross-testes/reduced size|pathology gross-epididymis/reduced size",2002
4,ToxRefDB,opp_der,Point of Departure,NOAEL,-,subchronic,>=,400,ppm,subchronic,oral,Rat,"pathology microscopic-kidney/dilatation|pathology microscopic-kidney/pigmentation",2002
